
Lfd.Nr.;Gewinn Losnummer;Sponsor Anrede;Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail; Bar Spende ? ;reine Sachspende;Gewinn;Wert Spende ?;akquisiert durch wen;Lagerort Gewinn;Erfasst von:;Gewinner Anrede;Gewinner Name;Gewinner Strasse;Gewinner PLZ und Ort;ausgeliefert am;ausgeh?ndigt von;Sponsorenquittung 
274;3577;Frau Kohorst;Wein & Fein;Bertram-Blank Str. 8A;51427 Bergisch Gladbach;02204/9199449;;;Gutschein;10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
275;1621;Frau Kohorst;Wein & Fein;Bertram-Blank Str. 8A;51427 Bergisch Gladbach;02204/9199449;;;Gutschein;10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
276;7136;Frau Tschamtke;P. Concept;Siebenmorgen 41;51427 Bergisch Gladbach;hello@pconcept.store;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
277;3744;Frau Tschamtke;P. Concept;Siebenmorgen 41;51427 Bergisch Gladbach;hello@pconcept.store;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
278;4939;Frau Tschamtke;P. Concept;Siebenmorgen 41;51427 Bergisch Gladbach;hello@pconcept.store;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
279;472;Frau Tschamtke;P. Concept;Siebenmorgen 41;51427 Bergisch Gladbach;hello@pconcept.store;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
280;2246;;Gesch?nke (?l/Essig/etc.);Dolmanstra?e 18;51427 Bergisch Gladbach;gesch?nke-refrath@gmx.de;;;Gutschein (Bereich Feinkost/Genuss);10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
281;5276;;Gesch?nke (?l/Essig/etc.);Dolmanstra?e 18;51427 Bergisch Gladbach;gesch?nke-refrath@gmx.de;;;Gutschein (Bereich Feinkost/Genuss);10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
282;7903;;Gesch?nke (?l/Essig/etc.);Dolmanstra?e 18;51427 Bergisch Gladbach;gesch?nke-refrath@gmx.de;;;Gutschein (Bereich Feinkost/Genuss);10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
283;7439;;Gesch?nke (?l/Essig/etc.);Dolmanstra?e 18;51427 Bergisch Gladbach;gesch?nke-refrath@gmx.de;;;Gutschein (Bereich Feinkost/Genuss);10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
284;5803;;Gesch?nke (?l/Essig/etc.);Dolmanstra?e 18;51427 Bergisch Gladbach;gesch?nke-refrath@gmx.de;;;Gutschein (Bereich Feinkost/Genuss);10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
285;8931;;Buchhandlung Siebenmorgen;Siebenmorgen 19;51427 Bergisch Gladbach;info@buchhandlung-7morgen.de;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
286;3128;;Buchhandlung Siebenmorgen;Siebenmorgen 19;51427 Bergisch Gladbach;info@buchhandlung-7morgen.de;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
287;3188;Frau Finken;ZW?LF;Bertram-Blank Str. 8;51427 Bergisch Gladbach;info@zw?lf-store.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
288;6974;Frau Finken;ZW?LF;Bertram-Blank Str. 8;51427 Bergisch Gladbach;info@zw?lf-store.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
289;8510;Frau Finken;ZW?LF;Bertram-Blank Str. 8;51427 Bergisch Gladbach;info@zw?lf-store.de;;;Gutschein;10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
290;9269;Frau Kleitz;Wolke 4;Kirchplatz 4;51427 Bergisch Gladbach;martina.kleitz@gmx.de;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
291;1599;Frau Kleitz;Wolke 4;Kirchplatz 4;51427 Bergisch Gladbach;martina.kleitz@gmx.de;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
292;5507;Frau Kleitz;Wolke 4;Kirchplatz 4;51427 Bergisch Gladbach;martina.kleitz@gmx.de;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
293;6706;Frau Kleitz;Wolke 4;Kirchplatz 4;51427 Bergisch Gladbach;martina.kleitz@gmx.de;;;Gutschein;25,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
294;2323;Blumen Ludemann;Blumen Ludemann;Siebenmorgen 24;51427 Bergisch Gladbach;info@blumen-ludemann.de;;;Gutschein;15,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
295;2677;Blumen Ludemann;Blumen Ludemann;Siebenmorgen 24;51427 Bergisch Gladbach;info@blumen-ludemann.de;;;Gutschein;15,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
296;6859;Blumen Ludemann;Blumen Ludemann;Siebenmorgen 24;51427 Bergisch Gladbach;info@blumen-ludemann.de;;;Gutschein;15,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
297;7751;Blumen Ludemann;Blumen Ludemann;Siebenmorgen 24;51427 Bergisch Gladbach;info@blumen-ludemann.de;;;Gutschein;15,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
298;2691;Blumen Ludemann;Blumen Ludemann;Siebenmorgen 24;51427 Bergisch Gladbach;info@blumen-ludemann.de;;;Gutschein;15,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
299;2463;AIDA MODA;AIDA MODA;Siebenmorgen 45;51427 Bergisch Gladbach;info@aidamoda.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
300;6098;AIDA MODA;AIDA MODA;Siebenmorgen 45;51427 Bergisch Gladbach;info@aidamoda.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
301;9209;AIDA MODA;AIDA MODA;Siebenmorgen 45;51427 Bergisch Gladbach;info@aidamoda.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
302;688;Frau Rolle;Cafe Andr?;Siebenmorgen 7;51427 Bergisch Gladbach;info@cafe-andrae.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
303;1124;Frau Rolle;Cafe Andr?;Siebenmorgen 7;51427 Bergisch Gladbach;info@cafe-andrae.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
304;2255;Kind & Schmitz ;Kind & Schmitz (Kinderschuhe);Siebenmorgen 20;51427 Bergisch Gladbach;laden@kindschmitz.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
305;6958;Kind & Schmitz ;Kind & Schmitz (Kinderschuhe);Siebenmorgen 20;51427 Bergisch Gladbach;laden@kindschmitz.de;;;Gutschein;20,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
306;3704;Ulrich Schneider;Ulrich Schneider;Hoffnungsthaler Str.;51503 R?srath;0173/5679885; 200,00 ;;Restaurantgutschein;;Andrea Siebert;;Andrea;;;;;;;
307;4331;Gino Gabriele;Lehmbacher Hof Ristorante;Bergische Landstr.161;51503 R?srath;info@lehmbacher-hof.de;;;Gutschein;30,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
308;6599;Gino Gabriele;Lehmbacher Hof Ristorante;Bergische Landstr.161;51503 R?srath;info@lehmbacher-hof.de;;;Gutschein;20,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
309;5532;Oxana Eutener;Fu?harmonie;Hauptstra?e 258;51503 R?srath;0157 54422938;;;Gutschein;10,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
310;1223;Oxana Eutener;Fu?harmonie;Hauptstra?e 258;51503 R?srath;0157 54422938;;;Gutschein;10,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
311;7404;Oxana Eutener;Fu?harmonie;Hauptstra?e 258;51503 R?srath;0157 54422938;;;Gutschein;10,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
312;2572;Swea Menser;Stadtwerke R?srath;Hauptstra?e 142;51503 R?srath;info@stadtwerke-roesrath.de;;; 5x Eintritt Freibad Hoffnungsthal;25,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
313;8904;Swea Menser;Stadtwerke R?srath;Hauptstra?e 142;51503 R?srath;info@stadtwerke-roesrath.de;;; 5x Eintritt Freibad Hoffnungsthal;25,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
314;2040;Swea Menser;Stadtwerke R?srath;Hauptstra?e 142;51503 R?srath;info@stadtwerke-roesrath.de;;; 5x Eintritt Freibad Hoffnungsthal;25,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
315;8158;Brian Wonner- M?schenborn;gl?ck auf Schuhe;Hauptstra?e 165;51503 R?srath;info@glueck-auf.shop.de;;;Gutschein;20,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
316;9559;Miguel Louzao de la Cruz;Bistro Picasso;Hauptstra?e 246;51503 R?srath;02205 2238;;;Gutschein;20,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
317;7990;Miguel Louzao de la Cruz;Bistro Picasso;Hauptstra?e 246;51503 R?srath;02205 2238;;;Gutschein;20,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
318;5065;Rolf Schr?der;Haarwerkstatt Schr?der;Taubengasse 32;53840 Troisdorf;info@haarwerkstatt-schroeder.de;;;Gutschein Damenhaarschnitt;42,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
319;3998;Rolf Schr?der;Haarwerkstatt Schr?der;Taubengasse 32;53840 Troisdorf;info@haarwerkstatt-schroeder.de;;;Gutschein Damenhaarschnitt;42,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
320;4776;Rolf Schr?der;Haarwerkstatt Schr?der;Taubengasse 32;53840 Troisdorf;info@haarwerkstatt-schroeder.de;;;Gutschein Herrenhaarschnitt;38,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
321;1688;Rolf Schr?der;Haarwerkstatt Schr?der;Taubengasse 32;53840 Troisdorf;info@haarwerkstatt-schroeder.de;;;Gutschein Herrenhaarschnitt;38,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
322;9168;Rolf Schr?der;Haarwerkstatt Schr?der;Hauptstra?e 230;51503 R?srath;info@haarwerkstatt-schroeder.de;;;Gutschein Damenhaarschnitt;42,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
323;1087;Rolf Schr?der;Haarwerkstatt Schr?der;Hauptstra?e 230;51503 R?srath;info@haarwerkstatt-schroeder.de;;;Gutschein Damenhaarschnitt;42,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
324;6583;Rolf Schr?der;Haarwerkstatt Schr?der;Hauptstra?e 230;51503 R?srath;info@haarwerkstatt-schroeder.de;;;Gutschein Herrenhaarschnitt;38,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
325;6907;Rolf Schr?der;Haarwerkstatt Schr?der;Hauptstra?e 230;51503 R?srath;info@haarwerkstatt-schroeder.de;;;Gutschein Herrenhaarschnitt;38,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
326;9864;Frau Rex Eberle;Monti Werkzeuge GmbH;Reisertstrasse 21;53773 Hennef;manuela.rex@montipower.com; 700,00 ;;St?dtetour;50,00;Manuela Rex-Eberle;wird per?snlich ?bergeben;Manuela;;;;;;;
327;4560;Diana Thamm;Oliveto Overath;Hauptstrasse 78;51491 Overath;;;;Gutschein Oliveto;25,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
328;1727;Diana Thamm;Oliveto Overath;Hauptstrasse 78;51491 Overath;;;;Gutschein Oliveto;25,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
329;8114;Diana Thamm;Oliveto Overath;Hauptstrasse 78;51491 Overth;;;;Gutschein Oliveto;25,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
330;8358;Heike Berg;Mode Berg  ;Am Weidenbach 7;51491 Overath;;;;Gutscheine Mode Berg;50,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
331;1476;Heike Berg;Mode Berg  ;Am Weidenbach 7;51491 Overath;;;;Gutschein Mode Berg;50,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
332;7239;Diana Thamm;Oliveto Overath;Hauptstrasse 78;51491 Overath;;;;Gutschein Oliveto;25,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
333;3129;Diana Thamm;Oliveto Overath;Hauptstrasse 78;51491 Overath;;;;Gutschein Oliveto;25,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
334;5144;Diana Thamm;Oliveto Overath;Hauptstrasse 78;61491 Overath;;;;Gutschein Oliveto;25,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela;;;;;;;
335;902;;Yoga ;;;;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
336;2622;;Yoga;;;;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
337;9367;;Yoga;;;;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
338;6595;;Yoga;;;;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
339;7046;;Yoga;;;;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
340;8203;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
341;2048;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
342;891;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
343;9106;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
344;1171;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
345;5520;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
346;2256;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
347;850;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
348;5833;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
349;3318;;TV Refrath Fit und Aktiv Fitnessstudio;Wilhelm-klein-Stra?e 18-20;51427 Bergisch Gladbach;02204-8678860;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
350;6328;;OxclusivA Gew?rzmanufaktur Engelskirchen;Reckensteinstra?e 4;51766 Engelskirchen;02263-8025440;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
351;7728;;OxclusivA Gew?rzmanufaktur Engelskirchen;Reckensteinstra?e 4;51766 Engelskirchen;02263-8025440;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
352;5279;;OxclusivA Gew?rzmanufaktur Engelskirchen;Reckensteinstra?e 4;51766 Engelskirchen;02263-8025440;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
353;6823;;Phantasiali Stoffe;Kalm?ntener Str. 104a;51467 Bergisch Gladbach;01578-8188194;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
354;765;;Phantasiali Stoffe;Kalm?ntener Str. 104a;51467 Bergisch Gladbach;01578-8188194;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
355;229;;Phantasiali Stoffe;Kalm?ntener Str. 104a;51467 Bergisch Gladbach;01578-8188194;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
356;8188;;Phantasiali Stoffe;Kalm?ntener Str. 104a;51467 Bergisch Gladbach;01578-8188194;;;Gutschein;;Sibylle Haas;Sibylle Haas;Clementine;;;;;;;
357;9099;Elke Bremer;Leder Bremer;Hauptstra?e 157;51465 Bergisch Gladbach;02202-32475;;;Gutschein;50,00;Rosemarie Hagemann;Rosemarie Hagemann;Clementine;;;;;;;
358;4040;Fee Valentin;Kilobri ;Hauptstrasse 238;51503 R?srath;02205-9202415;;;Gutschein;20,00;Manuela Rex-Eberle;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
359;4434;Elke Berger;f?r haare ;Hauptstra?e 78;53842 Troisdorf Spich;02241-42724;;;Gutschein;50,00;Martina Uedelhoven;Im Gesch?ft;Martina;;;;;;;
360;1117;Elke Berger;f?r haare ;Hauptstra?e 78;53842 Troisdorf Spich;02241-42724;;;Gutschein;50,00;Martina Uedelhoven;Im Gesch?ft;Martina;;;;;;;
361;4050;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress Augenmassage;39,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
362;3050;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress R?ckenmassage;59,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
363;8936;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress Augenmassage;39,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
364;5260;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress Augenmassage;39,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
365;8129;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress Augenmassage;39,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
366;4252;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress Augenmassage;39,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
367;3538;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress R?ckenmassage;59,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
368;8931;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress R?ckenmassage;59,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
369;9568;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress R?ckenmassage;59,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
370;9091;Dagmar Durgeloh-J?rging;Praxis f?r Naturheilkunde;Strassen 83;51429 Bergisch Gladbach;02204-2919105;;;Gutschein Antistress R?ckenmassage;59,00;Dagmar Durgeloh-J?rging;Im Gesch?ft;Dagmar;;;;;;;
371;6237;Rechtsanwalt Markus Glietz;Rechtsanwalt Markus Glietz;Hauptstrasse 77;51491 Overath;; 200,00 ;;Gutschein Restaurant;;Manuela Rex-Eberle;wird pers?nlich ?bergben;Manuela Rex-Eberle;;;;;;;
372;8445;Restaurant L?denbach;Restaurant L?denbach;Klef 9;51491 Overath;;;;Gutschein f?r 2 Personen;150,00;Manuela Rex-Eberle;wird pers?nlich ?bergben;Manuela Rex-Eberle;;;;;;;
373;9077;Jennifer Rosenow;Caf? Rosenow;Hauptstra?e 270;51503 R?srath;info@cafe-rosenow.de;;;Gutschein;10,00;Andrea Siebert;Andrea;Andrea;;;;;;;
374;9736;Jennifer Rosenow;Caf? Rosenow;Hauptstra?e 270;51503 R?srath;info@cafe-rosenow.de;;;Gutschein;10,00;Andrea Siebert;Andrea;Andrea;;;;;;;
375;8421;Jennifer Rosenow;Caf? Rosenow;Hauptstra?e 270;51503 R?srath;info@cafe-rosenow.de;;;Gutschein;10,00;Andrea Siebert;Andrea;Andrea;;;;;;;
376;9445;Fabian Zimmermann;fresh& fair Food;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein freshBox 4kg;26,64;Andrea Siebert;Andrea;Andrea;;;;;;;
377;210;Fabian Zimmermann;fresh& fair Food;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein freshBox 4kg;26,64;Andrea Siebert;Andrea;Andrea;;;;;;;
378;8412;Fabian Zimmermann;fresh& fair Food;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein freshBox 4kg;26,64;Andrea Siebert;Andrea;Andrea;;;;;;;
379;4655;Fabian Zimmermann;fresh& fair Food;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein freshBox 4kg;26,64;Andrea Siebert;Andrea;Andrea;;;;;;;
380;1644;Fabian Zimmermann;fresh& fair Food;Meigerhof 1;53797 Lohmar;info@cafe-rosenow.de;;;Gutschein freshBox 4kg;26,64;Andrea Siebert;Andrea;Andrea;;;;;;;
381;8193;Fabian Zimmermann;fresh& fair Food;Meigerhof 1;53797 Lohmar;info@cafe-rosenow.de;;;Gutschein freshBox 4kg;26,64;Andrea Siebert;Andrea;Andrea;;;;;;;
382;7644;;Friseur Klinkhammer;V?rfelser Kaule 50;51427 Bergisch Gladbach;dirkk922@gmail.com;;;Gutschein;;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
383;3471;;Friseur Klinkhammer;V?rfelser Kaule 50;51427 Bergisch Gladbach;dirkk922@gmail.com;;;Gutschein;;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
384;6977;;Blumen Pusteblume;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
385;4096;;Blumen Pusteblume;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
386;6782;;Blumen Pusteblume;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
387;332;;Blumen Pusteblume;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
388;5200;;Blumen Pusteblume;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
389;4354;;R?hrig Schuhe;Siebenmorgen 28;51427 Bergisch Gladbach;info@r?hrig-schuhe.de;;;Gutschein;15,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
390;5388;;R?hrig Schuhe;Siebenmorgen 28;51427 Bergisch Gladbach;info@r?hrig-schuhe.de;;;Gutschein;15,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
391;6823;;R?hrig Schuhe;Siebenmorgen 28;51427 Bergisch Gladbach;info@r?hrig-schuhe.de;;;Gutschein;15,00;Elke D?rrenhaus/ Ulla Freund;;Martina;;;;;;;
392;3957;B?rbel Maassen;Jacques?Weindepot R?srath;Hauptstr.17;51503 R?srath;roesrath@jacques.de;;;Gutschein f?r 3 Flaschen Wein;30,00;Gudrun S?uberlich-Spannagel;im Gesch?ft;Martina;;;;;;;
393;9972;B?rbel Maassen;Jacques?Weindepot R?srath;Hauptstr.17;51503 R?srath;roesrath@jacques.de;;;Gutschein f?r 2 Flaschen Wein;20,00;Gudrun S?uberlich-Spannagel;im Gesch?ft;Martina;;;;;;;
394;7118;B?rbel Maassen;Jacques?Weindepot R?srath;Hauptstr.17;51503 R?srath;roesrath@jacques.de;;;Gutschein f?r 1 Flasche Wein;10,00;Gudrun S?uberlich-Spannagel;im Gesch?ft;Martina;;;;;;;
395;9558;Frau Marx;Paf?merie Becker;Hauptstr.59;51503 R?srath;shop@parf?merie-becker.de;;;Gutschein;10,00;Gudrun S?uberlich-Spannagel;Anna;Martina;;;;;;;
396;9346;Frau Marx;Paf?merie Becker;Hauptstr.59;51503 R?srath;shop@parf?merie-becker.de;;;Gutschein;10,00;Gudrun S?uberlich-Spannagel;Anna;Martina;;;;;;;
397;7216;Frau Marx;Paf?merie Becker;Hauptstr.59;51503 R?srath;shop@parf?merie-becker.de;;;Gutschein;10,00;Gudrun S?uberlich-Spannagel;Anna;Martina;;;;;;;
398;5257;Innessa Gaisinskaia;"Fachfu?pflege  ""Gl?ck um die Ecke""";Hauptstr. 234A;51503 R?srath;02205-8918360;;;Gutschein Fu?pflege;45,00;Gudrun S?uberlich-Spannagel;Anna;Martina;;;;;;;
399;5096;Agim Ve
liu;Restaurant Zalero;Engelbertstr. 2-4;51429 Bergisch Gladbach;02204-9131143;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina;;;;;;;
400;531;Agim Veliu;Restaurant Zalero;Engelbertstr. 2-4;51429 Bergisch Gladbach;02204-9131143;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina;;;;;;;
401;1617;Agim Veliu;Restaurant Zalero;Engelbertstr. 2-4;51429 Bergisch Gladbach;02204-9131143;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina;;;;;;;
402;1385;Marcus Kramer;Physiotherapie Kramer;Helene-St?cker-Str.8;51429 Bergisch Gladbach;info@physio-gladbach.de;;;Gutschein Massage +Fango 30 Min;60,00;Martina Uedelhoven;in der Praxis;Martina;;;;;;;
403;4750;Marcus Kramer;Physiotherapie Kramer;Helene-St?cker-Str.8;51429 Bergisch Gladbach;info@physio-gladbach.de;;;Gutschein Massage +Fango 30 Min;60,00;Martina Uedelhoven;in der Praxis;Martina;;;;;;;
404;1036;Johannes P?tz;LebensLust und GenussMittel;Gierather Str. 247;51469 Bergisch Gladbach;info@johannespuetz.de;;;Gutschein;50,00;Martina Uedelhoven;wird verschickt;Martina;;;;;;;
